task,family,model,metric,rule_id,scope,path,line,text,name
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,54,"        y = idiv(idiv(acc, WIN), 1000)",
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,55,"        out.append((n + 1, y))",
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,49,            win[k] = win[k - 1],
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,52,            continue,
base,F1,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,47,      long t0 = System.nanoTime();,
base,F1,flink,C1,JAVA-C1,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,48,      for (long n = 0; n < slots && running; n++) {,
base,F1,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,49,        long deadline = t0 + n * INTERVAL_NS;,
base,F1,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,50,        long now = System.nanoTime();,
base,F1,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,53,"          Thread.sleep(sleepNs / 1_000_000L, (int) (sleepNs % 1_000_000L));",
base,F1,flink,C1,JAVA-C1,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,81,      for (int k = WIN - 1; k > 0; k--) {,
base,F1,flink,C5,JAVA-C5-WARMUP,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,85,      if (in.f0 < WIN - 1) {,
base,F1,flink,C1,JAVA-C1,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,89,      for (int k = 0; k < WIN; k++) {,
base,F1,flink,C3,JAVA-C3-WINDOW,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,68,    private int[] win;,Fir.win
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,34,"  static class PacedSource extends RichSourceFunction<Tuple2<Long, Integer>> {",
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,35,    private static final long INTERVAL_NS = 1_000_000L;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,36,    private final int[] samples;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,37,    private final long slots;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,38,    private volatile boolean running = true;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,41,      this.samples = samples;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,42,      this.slots = slots;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,46,"    public void run(SourceContext<Tuple2<Long, Integer>> ctx) throws Exception {",
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,52,          long sleepNs = deadline - now;,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,55,"        ctx.collect(Tuple2.of(n, samples[(int) n]));",
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,60,    public void cancel() {,
base,F1,flink,C7,JAVA-C7,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,61,      running = false;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,65,"  static class Fir extends RichFlatMapFunction<Tuple2<Long, Integer>, Tuple2<Long, Integer>> {",
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,66,    private static final int WIN = 26;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,67,    private final int[] coef;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,71,      this.coef = coef;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,75,    public void open(OpenContext ctx) {,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,76,      win = new int[WIN];,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,80,"    public void flatMap(Tuple2<Long, Integer> in, Collector<Tuple2<Long, Integer>> out) {",
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,82,        win[k] = win[k - 1];,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,84,      win[0] = in.f1;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,86,        return;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,88,      long acc = 0;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,90,        acc += (long) win[k] * coef[k];,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,93,"        throw new ArithmeticException(""suma "" + acc + "" poza int32 -- zakres danych nie wyklucza przepelnienia"");",
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,95,      int y = (int) acc / WIN / 1000;,
base,F1,flink,C7,JAVA-C7,Fir,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,96,"      out.collect(Tuple2.of(in.f0 + 1, y));",
base,F1,flink,C7,JAVA-C7,topology,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,170,"    DataStream<Tuple2<Long, Integer>> src = env.addSource(new PacedSource(samples, slots));",
base,F1,flink,C7,JAVA-C7,topology,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,171,"    src.flatMap(new Fir(coef)).addSink(new CanonicalSink(out, family, variant));",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,19,"DECLARE MLII INTEGER, V1 INTEGER STREAM ecg, 1/360 FILE 'rec205'",
base,F2,rql,C4d,RQL-C4d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,19,"DECLARE MLII INTEGER, V1 INTEGER STREAM ecg, 1/360 FILE 'rec205'",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,20,"DECLARE bp_coef INTEGER[25] STREAM bpf, 1 FILE 'bp_coef.txt'",
base,F2,rql,C4d,RQL-C4d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,20,"DECLARE bp_coef INTEGER[25] STREAM bpf, 1 FILE 'bp_coef.txt'",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,21,"DECLARE d_coef INTEGER[5] STREAM df, 1 FILE 'd_coef.txt'",
base,F2,rql,C4d,RQL-C4d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,21,"DECLARE d_coef INTEGER[5] STREAM df, 1 FILE 'd_coef.txt'",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,23,SELECT ecg.MLII STREAM mlii FROM ecg,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,25,"SELECT * STREAM mlii_win FROM mlii@(1,25)",
base,F2,rql,C3d,RQL-C3d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,25,"SELECT * STREAM mlii_win FROM mlii@(1,25)",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,26,SELECT mlii_win[_]*bpf[_] STREAM bp_acc FROM mlii_win+bpf,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,27,SELECT bp_acc[0]/1000 STREAM bp_out FROM bp_acc.sumc,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,29,"SELECT * STREAM bp_win FROM bp_out@(1,5)",
base,F2,rql,C3d,RQL-C3d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,29,"SELECT * STREAM bp_win FROM bp_out@(1,5)",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,30,SELECT bp_win[_]*df[_] STREAM d_acc FROM bp_win+df,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,31,SELECT d_acc[0] STREAM d_out FROM d_acc.sumc,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,33,SELECT d_out[0]*d_out[0]/1000 STREAM sq_out FROM d_out,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,35,"SELECT * STREAM mwi_win FROM sq_out@(1,30)",
base,F2,rql,C3d,RQL-C3d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,35,"SELECT * STREAM mwi_win FROM sq_out@(1,30)",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,36,SELECT mwi_win[0] STREAM mwi FROM mwi_win.avg,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,38,"SELECT * STREAM mwi_long FROM mwi@(1,180)",
base,F2,rql,C3d,RQL-C3d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,38,"SELECT * STREAM mwi_long FROM mwi@(1,180)",
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,39,SELECT mwi_long[0] STREAM mwi_thr FROM mwi_long.avg,
base,F2,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,41,"SELECT mlii[0]-900, mwi[0]*5, (mwi[0]-mwi_thr[0]*2)*5 STREAM qrs_out FROM mlii+mwi+mwi_thr",
base,F2,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,57,    t0 = time.monotonic_ns(),
base,F2,python,C1,PY-C1-SLOT,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,58,    for n in range(slots):,
base,F2,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,59,        deadline = t0 + n * INTERVAL_NS,
base,F2,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,60,        now = time.monotonic_ns(),
base,F2,python,C1,PY-C1-NESTED,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,65,"        for k in range(WIN_BP - 1, 0, -1):",
base,F2,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,62,            time.sleep((deadline - now) / 1e9),
base,F2,python,C1,PY-C1-NESTED,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,71,"            for k in range(WIN_D - 1, 0, -1):",
base,F2,python,C1,PY-C1-NESTED,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,78,"                for k in range(WIN_MWI - 1, 0, -1):",
base,F2,python,C1,PY-C1-NESTED,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,85,"                    for k in range(WIN_THR - 1, 0, -1):",
base,F2,python,C2,PY-C2-STATE,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,50,    cnt_bp = 0,run.cnt_bp
base,F2,python,C2,PY-C2-STATE,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,51,    cnt_d = 0,run.cnt_d
base,F2,python,C2,PY-C2-STATE,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,52,    cnt_mwi = 0,run.cnt_mwi
base,F2,python,C2,PY-C2-STATE,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,53,    cnt_thr = 0,run.cnt_thr
base,F2,python,C2,PY-C2-STATE,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,54,    mwi_at = {},run.mwi_at
base,F2,python,C2,PY-C2-STATE,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,55,    thr_at = {},run.thr_at
base,F2,python,C3,PY-C3-WINDOW,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,46,    win_bp = [0] * WIN_BP,run.win_bp
base,F2,python,C3,PY-C3-WINDOW,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,47,    win_d = [0] * WIN_D,run.win_d
base,F2,python,C3,PY-C3-WINDOW,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,48,    win_mwi = [0] * WIN_MWI,run.win_mwi
base,F2,python,C3,PY-C3-WINDOW,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,49,    win_thr = [0] * WIN_THR,run.win_thr
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,39,"def run(mlii, bp_coef, d_coef, slots):",
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,40,"    """"""Zwraca listę (logical_index, [pole0, pole1, pole2]).""""""",
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,41,    WIN_BP = 25,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,42,    WIN_D = 5,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,43,    WIN_MWI = 30,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,44,    WIN_THR = 180,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,45,    INTERVAL_NS = 2_777_778,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,56,    out = [],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,61,        if now < deadline:,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,63,        x = mlii[n],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,69,        if cnt_bp >= WIN_BP:,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,92,        if n in mwi_at and n in thr_at:,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,66,            win_bp[k] = win_bp[k - 1],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,70,"            bp = idiv(sumc([imul(win_bp[k], bp_coef[k]) for k in range(WIN_BP)]), 1000)",
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,75,            if cnt_d >= WIN_D:,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,93,            m = mwi_at[n],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,94,            t = thr_at[n],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,95,"            out.append((n, [isub(x, 900), imul(m, 5), imul(isub(m, imul(t, 2)), 5)]))",
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,72,                win_d[k] = win_d[k - 1],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,76,"                d = sumc([imul(win_d[k], d_coef[k]) for k in range(WIN_D)])",
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,77,"                sq = idiv(imul(d, d), 1000)",
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,82,                if cnt_mwi >= WIN_MWI:,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,79,                    win_mwi[k] = win_mwi[k - 1],
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,83,                    mwi = avg(win_mwi),
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,89,                    if cnt_thr >= WIN_THR:,
base,F2,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,86,                        win_thr[k] = win_thr[k - 1],
base,F2,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,65,      long t0 = System.nanoTime();,
base,F2,flink,C1,JAVA-C1,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,66,      for (long n = 0; n < slots && running; n++) {,
base,F2,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,67,        long deadline = t0 + n * INTERVAL_NS;,
base,F2,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,68,        long now = System.nanoTime();,
base,F2,flink,C4,JAVA-C4,PacedSource,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,71,"          Thread.sleep(sleepNs / 1_000_000L, (int) (sleepNs % 1_000_000L));",
base,F2,flink,C1,JAVA-C1,BandPass,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,105,      for (int k = WIN - 1; k > 0; k--) {,
base,F2,flink,C5,JAVA-C5-WARMUP,BandPass,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,110,      if (filled < WIN) {,
base,F2,flink,C1,JAVA-C1,BandPass,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,114,      for (int k = 0; k < WIN; k++) {,
base,F2,flink,C1,JAVA-C1,BandPass.Derivative,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,142,      for (int k = WIN - 1; k > 0; k--) {,
base,F2,flink,C5,JAVA-C5-WARMUP,BandPass.Derivative,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,147,      if (filled < WIN) {,
base,F2,flink,C1,JAVA-C1,BandPass.Derivative,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,151,      for (int k = 0; k < WIN; k++) {,
base,F2,flink,C1,JAVA-C1,BandPass.Derivative.SquareMwi,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,176,      for (int k = WIN - 1; k > 0; k--) {,
base,F2,flink,C5,JAVA-C5-WARMUP,BandPass.Derivative.SquareMwi,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,181,      if (filled < WIN) {,
base,F2,flink,C1,JAVA-C1,BandPass.Derivative.SquareMwi,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,185,      for (int k = 0; k < WIN; k++) {,
base,F2,flink,C1,JAVA-C1,BandPass.Derivative.SquareMwi.Threshold,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,208,      for (int k = WIN - 1; k > 0; k--) {,
base,F2,flink,C5,JAVA-C5-WARMUP,BandPass.Derivative.SquareMwi.Threshold,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,213,      if (filled < WIN) {,
base,F2,flink,C1,JAVA-C1,BandPass.Derivative.SquareMwi.Threshold,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,217,      for (int k = 0; k < WIN; k++) {,
