task,family,model,metric,rule_id,path,line,confirmed,coder
base,F1,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,49,YES,Codex-manual
base,F1,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,50,YES,Codex-manual
base,F1,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,53,YES,Codex-manual
base,F1,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,81,YES,Codex-manual
base,F1,flink,C5,JAVA-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,85,YES,Codex-manual
base,F1,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,89,YES,Codex-manual
base,F1,flink,C3,JAVA-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,68,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,34,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,35,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,36,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,37,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,38,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,41,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,42,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,46,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,52,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,55,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,60,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,61,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,65,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,66,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,67,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,71,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,75,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,76,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,80,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,82,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,84,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,86,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,88,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,90,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,93,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,95,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,96,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,170,YES,Codex-manual
base,F1,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,171,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,19,YES,Codex-manual
base,F2,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,19,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,20,YES,Codex-manual
base,F2,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,20,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,21,YES,Codex-manual
base,F2,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,21,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,23,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,25,YES,Codex-manual
base,F2,rql,C3d,RQL-C3d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,25,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,26,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,27,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,29,YES,Codex-manual
base,F2,rql,C3d,RQL-C3d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,29,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,30,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,31,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,33,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,35,YES,Codex-manual
base,F2,rql,C3d,RQL-C3d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,35,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,36,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,38,YES,Codex-manual
base,F2,rql,C3d,RQL-C3d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,38,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,39,YES,Codex-manual
base,F2,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/rql/core.rql,41,YES,Codex-manual
base,F2,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,57,YES,Codex-manual
base,F2,python,C1,PY-C1-SLOT,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,58,YES,Codex-manual
base,F2,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,59,YES,Codex-manual
base,F2,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,60,YES,Codex-manual
base,F2,python,C1,PY-C1-NESTED,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,65,YES,Codex-manual
base,F2,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,62,YES,Codex-manual
base,F2,python,C1,PY-C1-NESTED,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,71,YES,Codex-manual
base,F2,python,C1,PY-C1-NESTED,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,78,YES,Codex-manual
base,F2,python,C1,PY-C1-NESTED,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,85,YES,Codex-manual
base,F2,python,C2,PY-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,50,YES,Codex-manual
base,F2,python,C2,PY-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,51,YES,Codex-manual
base,F2,python,C2,PY-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,52,YES,Codex-manual
base,F2,python,C2,PY-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,53,YES,Codex-manual
base,F2,python,C2,PY-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,54,YES,Codex-manual
base,F2,python,C2,PY-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,55,YES,Codex-manual
base,F2,python,C3,PY-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,46,YES,Codex-manual
base,F2,python,C3,PY-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,47,YES,Codex-manual
base,F2,python,C3,PY-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,48,YES,Codex-manual
base,F2,python,C3,PY-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,49,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,39,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,40,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,41,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,42,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,43,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,44,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,45,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,56,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,61,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,63,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,69,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,92,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,66,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,70,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,75,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,93,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,94,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,95,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,72,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,76,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,77,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,82,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,79,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,83,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,89,YES,Codex-manual
base,F2,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/python/core.py,86,YES,Codex-manual
base,F2,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,65,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,66,YES,Codex-manual
base,F2,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,67,YES,Codex-manual
base,F2,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,68,YES,Codex-manual
base,F2,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,71,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,105,YES,Codex-manual
base,F2,flink,C5,JAVA-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,110,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,114,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,142,YES,Codex-manual
base,F2,flink,C5,JAVA-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,147,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,151,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,176,YES,Codex-manual
base,F2,flink,C5,JAVA-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,181,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,185,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,208,YES,Codex-manual
base,F2,flink,C5,JAVA-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,213,YES,Codex-manual
base,F2,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,217,YES,Codex-manual
base,F2,flink,C3,JAVA-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,89,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,90,YES,Codex-manual
base,F2,flink,C3,JAVA-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,126,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,127,YES,Codex-manual
base,F2,flink,C3,JAVA-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,162,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,163,YES,Codex-manual
base,F2,flink,C3,JAVA-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,196,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,197,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,232,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,233,YES,Codex-manual
base,F2,flink,C2,JAVA-C2-STATE,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,234,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,52,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,53,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,54,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,55,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,56,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,59,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,60,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,64,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,70,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,73,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,74,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,79,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,80,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,85,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,87,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,88,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,93,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,97,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,98,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,99,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,103,YES,Codex-manual
base,F2,flink,C7,JAVA-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F2_ecg/flink/F2Ecg.java,106,YES,Codex-manual
